ts,coin,addr,kind,side,szi_prev,szi,delta,entryPx,mark
2026-08-21T05:20:36+00:00,BTC,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,REDUCE,LONG,200.0,184.0,-16.0,74224.3,75485.0
2026-08-21T05:20:36+00:00,BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,REDUCE,SHORT,38.83586,-18.73845,-57.57431,75039.1,75485.0
2026-08-21T05:20:36+00:00,BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,ADD,SHORT,-37.81246,-73.80221,-35.98975,74810.3,75485.0
2026-08-21T05:20:36+00:00,BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,ADD,SHORT,-119.49448,-140.07836,-20.583880000000008,74672.0,75485.0
2026-08-21T05:20:36+00:00,BTC,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,ADD,SHORT,-865.76458,-883.96434,-18.19975999999997,63578.2,75485.0
2026-08-21T05:20:36+00:00,BTC,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,ADD,SHORT,-8.18719,-13.5899,-5.402710000000001,74820.6,75485.0
2026-08-21T05:20:36+00:00,BTC,0x77eeda199553e33b246e4b4666849b9ad0972902,REDUCE,LONG,26.25472,23.9061,-2.3486200000000004,64257.8,75485.0
2026-08-21T05:20:36+00:00,BTC,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,REDUCE,SHORT,-19.58118,-1.85619,17.72499,75480.3,75485.0
2026-08-21T05:20:36+00:00,BTC,0xa0479b2c614cbd03ceab36ae5a6d0822035e553c,ADD,LONG,132.67041,155.24287,22.572460000000007,69632.6,75485.0
2026-08-21T05:20:36+00:00,BTC,0xbc1bc64be47052fbab69d12fe5da1c3327788d1b,ADD,LONG,51.97226,79.97226,28.000000000000007,73026.5,75485.0
2026-08-21T05:20:36+00:00,BTC,0xd4c1f7e8d876c4749228d515473d36f919583d1d,ADD,SHORT,-251.36525,-286.44606,-35.080809999999985,73477.9,75485.0
2026-08-21T05:20:36+00:00,BTC,0xe86b057f5eb764c9738d6b0d38170befd0723664,ADD,SHORT,-9.23365,-15.02893,-5.79528,74669.0,75485.0
2026-08-21T05:20:36+00:00,BTC,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,ADD,SHORT,45.04396,-168.66954,-213.7135,74978.0,75485.0
2026-08-21T05:20:36+00:00,BTC,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,ADD,SHORT,-0.26801,-5.8482,-5.58019,75259.2,75485.0
2026-08-21T05:20:36+00:00,BTC,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,ADD,SHORT,-196.99091,-231.37472,-34.38380999999998,74707.0,75485.0
