addr,av
0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,25495418.554407
0x35270069b7a3c6d8c2caf73965f07a8a8b051e16,25434996.12778
0x0d0707963952f2fba59dd06f2b425ace40b492fe,25095568.32248
0xf447ff9a69a5df096669a4369d43ecf2a2ed45ac,25051558.033437
0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,24881612.716255
0x4c6d679eac539bf7c5a0b7ebd8949ae93b1e5ee9,24843204.494312
0xb8ebd6ed57f4102be5b1caf60d01dd1c9f270f94,24796400.437505
0x6dbde1a1e0f199b0252e593a422b9340af03075a,24232905.229677
0x4e23288cee4960f9f962195c22948e4bc7ae20c3,24190163.851843
0x82f973a90ff607bf78bf6ec4e93fefe41d4521d8,24181175.082776
0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,24166065.519203
0x416bea03fadfe12efeed668630129028a95775e7,23869734.321379
0x0f991873aab3e14191978946d48f30f624ae9867,23737096.193991
0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,23445242.072697
0xb581d667c53fd8a50bf7ffd817be0e62daa16f4f,23340675.888863
0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,22341918.299768
0xde8d9e530b0528ffa7b1190f862536c055dd9524,22231505.693622
0xf6ae3f282be7e4d5666660ba404048c292beeb51,22184536.007323
0x87da9219cf534e8960ca8ce2bd93179006de4a60,22150634.550071
0x918704031c1519800241a92736b2903dc5c2a7c5,22125557.063119
0x008d9a5fc10072f1c1ff422428f6f8552dae295f,22107044.916816
0xc8b527864ef2ad6dc49de7e99943a3a76ad48891,21937542.508045
0xa312114b5795dff9b8db50474dd57701aa78ad1e,21932207.229852
0x8bdc2d577d84c5dc93cc9f5c2c62ef8840187f51,21886713.38007
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,21810917.455094
0x13d032655aca891fad353e19424d2a087eccfa8a,21773222.327088
0xa2d1dd0f09239349354b662f75fbd81f3dbc824e,21730215.62382
0xf2925cb0779a741fe33037cbd88fca5382e41244,21721098.316015
0xdf954bbe619273a56e0cfa90dad8382195dc7d72,21628579.376310997
0xd9c6017fa1ba09b42dd161e660aa13e884c9398b,21446607.275032
0xe9f91121e8ec38c2d0fba6dec8bced55b6a42bb7,21384564.34984
0xa906355beaf1d69a5fe73ce55899c49c6e67916c,21314020.265687
0xc15dc0b4223b05588a257e48ed129fb59c6eb7e3,21285762.983028
0xf71521e7978560424ff72f4e6e1a1c0abdccdaed,21241717.321533002
0x384479d8dd251a326d3d8fb0879148d594b7efcd,21213847.376803
0x31b1ecf848443472e34d204a134812d86ab01434,20644010.400402
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,20597983.931071
0x64a4fbb71858f681f3fa10a42b34180a9a48088d,20543643.400932
0xcbcbc9e34f050489c812d742df5ca77b48c11064,20445864.323131
0x7be1cba648ebe1ab8084244d23f28d68a86480d8,20441056.942631
0x519c721de735f7c9e6146d167852e60d60496a47,20263389.931142
0xc36e04d7b3330cadf8a1dcb48542beb7a04752b7,20204005.778557
0xf55fb97d4f572a6ffb13a64a03d8b18afdfff1c2,20192017.882728
0x251f933e62283b6178d6f8c5629859dfa8b96e5d,20051317.739607
0x8196e0648cb16e9151c2920618a58605706b5836,19782949.293296
0x8607a7d180de23645db594d90621d837749408d5,19691291.059898
0x16a4814e8eb502c56cebd73f9c8ac7fdee29c042,19502920.158805
0xdd53c5297309130ab5fe5623dc905752e3342b13,19428377.712277
0x0283c3c2df1d88cfb13ec35d007d01b128932aa7,19310298.797358
0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,19277569.54872
0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,19103980.402918
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,18910929.766058
0x68d756cdc20175714853c6a6a778287eb96680ee,18804805.717016
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,18591783.652461
0x0ad9e656d9e6211d0ea1c5462342e1fc94cc4cbf,18566528.572949
0x6666885961fec8ed58ddb45637ea41c02d6423f5,18346699.078986
0x4cbd339d9969bf8558af38af46bfd299a80b315f,18227061.426666
0x089fe537f4b2af55fa990bc64ff4125800bba4f8,17965449.105664
0x85c769422ef923435a99459fd26716df35d01ca1,17788563.757844
0xdf5aa0654283e3cc6d24ad95b6c8ac0e9b851e08,17781926.968937
0xfd9415c5172f3ba22862870a7ff2de572cae1aab,17708910.961522
0x628b72cceb9df77e8a845aa35a7d75ca4b0ec6c4,17674875.52701
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,17450277.45649
0xeadc430e590e11b987a07e5e801b22dbb24e2525,17429026.715541
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,17395557.617635
0xea0027b6ea9b6d7d401b5266979cc3b3ca87a918,17173863.733443
0x15e4896b2a04a00767d10a9284e577aaf169bfbe,17055313.362289
0xdcac85ecae7148886029c20e661d848a4de99ce2,17035145.944283
0x0a319407fdbe2776400abfcf17eaa706051bb0ad,16801249.330238
0xd4d99d205e67e88e5e19d91afd6fcab665b532e8,16756953.417197
0x9c6a5b4662c722d2c47f43d6c9813cb080ffa4ed,16743292.568733
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,16577095.217063
0xceec48581b3145a575508719f45da07dc57fa7ce,16546630.574576
0x835024b41ab27f62ece30148a0a7cfb2a62f2855,16524433.472752
0xa5522864adf82b3fb853a6c12fca12515a8c121e,16270177.274403
0x5822bba4db1a7f2307c74c290ac6e050b75436e6,16260494.323186
0x29764f15289e130efdb57200a2bda61556d39cc0,16164376.61629
0x7fac3a828434d45efda109fdb264d2cb188685c2,16160925.992284
0xd1aebbd4d53fc248a8413c9e6202ebacad6db709,16116915.795683
0x27bbe88682cbd43559f343ab437c05abc663f40e,16062064.672188
0x47581b206ffb2752c165b987141bad0dc22bd605,16046077.915196
0x807a2e2e469df84b299da5f90f15dda4380daca1,15741463.743594
0xb75055233b067dd97bae6babd28e6a095c3d97ae,15707131.725017
0x058226e191fae1af7f4f400c996a60c13dbe7583,15629368.83367
0x462e3f2ce774b4dbba10662a2155e4823d4c820f,15578853.878344
0x007d76eec0ba411ce873a8819df50dd443d967a0,15535973.110716
0x3b7f4282f983c37526f04bbac7dab772ee743998,15534998.678676
0x4be5f249c4df500ede3fed4171bd37b8563420c0,15185546.571166
0xdb095d5a4f412fc6b14e6204c1db78bd14becbc1,15154929.316423
0xd8c5228c515db3043dfa0c8cd6f22450ee9a99b0,15079776.67153
0xdd6dca8511066b6c5e57c7eb08c10589d181999e,14957143.53918
0x011a1a6a9897295e1bce760aa70d24470d215809,14866796.20901
0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,14581466.535924
0x5a1df0f792d811eb2ab2fd1a58882d05635dd801,14549299.773083
0x9c40f18dc57de8cb89c01322db7f2692d2c8d6fc,14522265.735662
0x5f94a51948d2376ad34a6fadfa2544e651b74b96,14374942.68813
0xcead893b162d38e714d82d06a7fe0b0dc3c38e0b,14172788.18307
0x7839e2f2c375dd2935193f2736167514efff9916,13939672.165583996
0xf961e5e6c5276164adb2865b7e80cf82dc04e920,13882852.269785
0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,13746200.838655
0x89c645ecbd07825b194e3b98300eb3497aaba406,13689873.633603
0x091159a8106b077c13e89bc09701117e8b5f129a,13633471.254895
0x5b53358eca5790fa4c268ad6813386b3a86549c7,13630345.250511
0xec0b9ebf2a304c99cafe85c548c14dd7783cb078,13610801.378658
0x82b02bd42b8a837228181ea34bf0679a51a37e39,13546583.351108
0x00b43bdee2d3fa676ab06739bf1d52f4bad6591e,13499931.659301
0x9e78ff8b65b77d43c6f86b9f23da86df1b3f3904,13408418.284489
0x9c89f595f5515609ad61f6fda94beff85ae6600e,13397956.392181
0xa1830e8d9f019feb448478a171bb37cc6c4c0482,13395346.236195
0x65356f43684e4a9115df95cc92e9c487a8349c51,13378549.439965
0x9ffdf919da72213588f7517598394cc5535bce40,13359805.567102
0x72f485750bb2a9d9fac43b8e7c4eb1ef6c45e2e0,13259100.094891
0xf02d028ffeddc120a3ec59602a6617303ca55eb3,13235932.93635
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,13169859.927198
0x24b519d78eea22312308f7369c102e32df4d33e7,13128945.769522
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,13087614.125487
0xc28808606af02821e6eb06c8b6f56ba4b6f55785,13067980.204201
0x31dea2516beee92135b96f464eeec3cf292a13f2,13042825.892056001
0x9eec98d048d06d9cd75318fffa3f3960e081daab,13009702.437998
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,13007338.166911
0xfd423284f6a9c73a2a3d53cab8921d6533533d97,12979917.243511
0x9e1894cd670a698363a7f7ef5b4a104cf411152a,12939415.461303
0x37b81ab9e3ab04b9e3738e4891621205aaa31fd5,12862371.000415
0x457521b0855dddc12d13c5ff8a776baa693e5655,12818819.264322
0x053fa362f5459cf61037d8b554b5cfb055a7a4d3,12807490.688052
0x6355f7cf36b24044cd5b089a845113327d0ee58e,12763538.501833001
0x60ac32d416507c844b43e29b2e12dd23f5277420,12746373.71746
0x9a1500b41519868039b1f95c447ba50b76d837e6,12628782.991616
0x184d7751999a90dd233589ed6fd12511baa603f7,12504220.467099
0x38de32620cf96426b87274ad2331c95f6dab63bc,12498747.406231
0xfb941d2344b72ea9101400392b818173772d0ddf,12478696.397129
0x304f6a20429419a897971512aa3505cc14891a83,12468734.225672
0xb38bbe3b0a6f35e20a57bf88f1acd3f1a0ad17ba,12430977.282368
0x69eb4d6ae7f3ce382f98fb727813d0207f880e3b,12424083.428689
0x0d036f7a1b1e66f2e9f9a57c4b1005958c2168c2,12303564.910088
0x23fa1ad1dc4bcdffa41b722a7aef4e3e335d74c4,12259158.518412998
0x265eac78fb57495674227c93065d67abe6f97f70,12249529.573707
0x08d8983f65f2519b757160f42f6184bdf264a3a4,12166530.699727
0x1da722cfa8b0dfda57cf8d787689039c7a63f049,12149368.871127
0xb08829de4f6bd59237dfd086a26f15b5b91fbb33,12119396.218238
0x992d92fb337a867f2629e440e149ca3bb98a8dc8,12093389.902157
0xa71c1e8e89f58c2179dd40ac8671b7715853cc1f,11964194.36338
0x2fe21fc5130e953b862d4a6048cfd016ecf3974d,11960069.254711
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,11913599.912587
0xd14d535a383b065cf2228963a984d0e2477bee1f,11836307.179017
0x5cdf940491afd849b5a6fad85a384512f76d30bd,11827669.593245
0x1f919bfe96d8c5c25c7268998cc9c4547c44bec5,11745621.768213
0xda3768e9299e1fd81708ec030dac5ea37125f7b5,11744639.767412998
0x66466428990e0f42a4c54f64bee0db6bf2336de5,11728205.388449
0x1592f68a5f481f2456f5811f8102bad4f3b8d3fd,11642388.831466
0x47472cd62c99b8b5ce7e84e733515133e9aec0bd,11627073.115982
0x4d470e0a241c3d7321b4b6c6f23f214db85bfa47,11577863.137811001
0xd93ff35f84b1f7bbfca0bb4bb1e49b383e5c2c3e,11571913.192595
0xcf888f3594cad87aaf087501f5cfd013b40f675a,11505284.10881
0xfc84a4bba95d3a13f91a9c0d735c0af04a18f4d0,11444542.136436
0xfc1ccff3fa575ce4297ac24aa00c06946bcf40da,11420727.130907
0x0400ad96331e0a3d41e75a1d7950b93e466d1173,11409374.366309
0xd260b2216b735277da6771564a01c04856e78321,11371406.1803
0x01f69c71cbe55660e97bcf91667e5f5e93b082e8,11360803.237572
0x13da9d69a9b8a28495ade07d3ff1c61d024808be,11359662.671038
0x33631426077c380edb2fee05effae4e8f481b648,11301197.075062
0x3300eebeea8239b90a435e403b130a853a0d7dff,11296909.474409997
0xf517639a8872e756ac98d3c65507d2ebc25cc032,11291409.355098002
0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,11284196.13078
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,11272312.978762
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,11270395.361007001
0x7d54a6772903c4f45f05c9b4e89f1dd2a0f52794,11262951.820449
0xbf986efd01cca17305eacad83a8cf5a17c3bbaf3,11196239.047586
