ts,coin,mark,oi,funding,premium,n_whales,n_long,n_short,long_sz,short_sz,long_ntl,short_ntl,long_upnl,short_upnl,wavg_entry_long,wavg_entry_short,net_sz,tracked_oi_pct,min_value,n_accounts
2026-08-22T11:41:29+00:00,SOL,93.423,4809483.320000001,1.25e-05,0.0007368518,57,21,36,1327866.62,1420196.1700000002,124054344.40532,132678109.97298,9192744.776337,-5731566.661138998,86.50082460095503,89.38656981562625,-92329.54999999978,57.1384202243163,5000000.0,707.0
2026-08-22T13:21:22+00:00,SOL,93.815,4801698.900000001,1.25e-05,0.0007679099,57,22,35,1329040.59,1417996.0300000005,124694479.10167,133036404.8197,9721834.467059,-6285663.419253999,86.50796925580579,89.38717800352796,-88955.43999999994,57.209680931888485,5000000.0,713.0
2026-08-22T13:59:32+00:00,SOL,94.179,4817935.28,1.25e-05,0.0005949535,56,20,36,1327709.04,1397772.8200000003,125036955.14758198,131639333.62769602,10189263.380907996,-6622246.396479,86.50061587441628,89.44014965761528,-70063.77999999991,56.56949920672242,5000000.0,709.0
2026-08-22T14:53:39+00:00,SOL,93.067,4837669.060000002,1.25e-05,0.0003439566,56,21,35,1328102.7300000002,1395714.11,123663692.17835,129902460.35191002,8779399.513453001,-5071806.684404001,86.50253327406607,89.43849406715678,-67611.37999999995,56.30432355370747,5000000.0,709.0
2026-08-22T15:43:12+00:00,SOL,93.321,4849621.159999999,1.25e-05,0.0005736343,57,20,37,1327856.58,1417303.7,123901927.13513,132255477.98019402,9040578.823289,-5553429.517544999,86.5012893153378,89.39647638327057,-89447.11999999991,56.60566443090991,5000000.0,710.0
2026-08-22T16:01:26+00:00,SOL,93.168,4845781.72,1.25e-05,0.0005047251,57,21,36,1327918.1900000002,1415990.2600000002,123709637.50599,131926632.01029,8842582.472528001,-5346420.410654,86.50157359185056,89.393367785688,-88072.06999999995,56.62468118766192,5000000.0,710.0
2026-08-22T16:56:50+00:00,SOL,94.55,4910575.499999999,1.25e-05,0.0007938608,57,20,37,1326789.4,1426216.4900000002,125449263.73174,134849093.82427,10686838.883719,-7296335.795097001,86.4963066745687,89.4342939854741,-99427.08999999994,56.06279528743629,5000000.0,709.0
2026-08-22T17:46:14+00:00,SOL,94.336,4963122.760000001,2.75526e-05,0.0007532038,56,20,36,1326155.87,1411836.2500000002,125102940.86319998,133182000.00090005,10399917.48289,-6815176.894168001,86.49283543434153,89.50523652152647,-85680.37999999998,55.16672168713392,5000000.0,709.0
2026-08-22T19:02:11+00:00,SOL,94.538,4988716.180000003,2.43058e-05,0.0007547633,56,20,36,1326483.9600000002,1428545.0500000005,125427188.33694996,135055566.25181,10693081.666802,-7104991.831011,86.49487529429831,89.56700372857193,-102061.08999999988,55.22521046687402,5000000.0,714.0
2026-08-22T19:48:34+00:00,SOL,94.76,4988629.599999999,2.92932e-05,0.0007191821,56,19,37,1326243.73,1430362.36,125677947.42745002,135542261.939996,10966371.582465002,-7416362.514080999,86.49355416226473,89.57577028452145,-104118.62999999996,55.25778241784077,5000000.0,714.0
2026-08-22T20:49:31+00:00,SOL,94.597,4973566.879999998,1.87584e-05,0.000751124,55,20,35,1326230.79,1424078.9800000002,125457454.04163,134713599.27106002,10747072.483141,-7081209.342387,86.49349754997846,89.62445762563745,-97848.18999999989,55.29853797803963,5000000.0,715.0
2026-08-22T21:42:18+00:00,SOL,93.189,4938435.959999997,1.25e-05,0.0007194476,55,18,37,1325917.71,1422930.59,123578809.56927998,132606147.6029,8898065.081670001,-5062340.676984001,86.49156857580627,89.63453259015748,-97012.88000000003,55.66232552704808,5000000.0,713.0
2026-08-22T22:01:52+00:00,SOL,92.991,4911513.920000001,1.25e-05,0.0004949696,55,20,35,1326802.2,1419417.7900000005,123327479.508289,131981857.923591,8564498.699566,-4766943.073136999,86.49589131646904,89.62466194013038,-92615.58999999995,55.913920529008685,5000000.0,713.0
2026-08-22T22:54:49+00:00,SOL,93.931,4910173.520000001,1.25e-05,0.0006007989,56,21,35,1326959.86,1438136.9200000002,124646106.292855,135088672.58694902,9867505.717676999,-6271284.417181,86.4973856168867,89.57235692172688,-111177.05999999988,56.3136265701665,5000000.0,715.0
