addr,av,coin,szi,entryPx,notional,upnl,liqPx,lev,levType,ts
0xacb66d1996501bcc82a0e7819c9e041599f5efbd,1038060.87864,SOL,-10961.48,73.251,1032626.2234,-229686.58015,579.3845668149,20,cross,2026-08-24T08:09:18+00:00
0x9751cec58be43e0e27d57ba49ac3d68ec269a97e,705735.283602,SOL,-273.89,77.939,25801.80745,-4455.09474,12449.2858036296,2,cross,2026-08-24T08:09:18+00:00
0x1bbfb3a33600338d5a948618189649a4588d5fc4,6282106.491502,SOL,108357.61,70.8511,10210104.15986,2532845.47325,37.1798098968,2,cross,2026-08-24T08:09:18+00:00
0xe86b057f5eb764c9738d6b0d38170befd0723664,4031532.379507,SOL,390.42,94.117,36787.71492,42.53633,,20,cross,2026-08-24T08:09:18+00:00
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,3211548.469354,SOL,-32362.23,157.4282,3049363.48398,2045364.270612,278.5445483749,1,cross,2026-08-24T08:09:18+00:00
0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,3973040.039146,SOL,180.02,93.3052,16962.56452,165.755679,,20,cross,2026-08-24T08:09:18+00:00
0xa0b7020185b97f496f523c3f769eebcffcc56165,4486818.191589,SOL,-47200.58,86.9861,4447521.85108,-341726.725239,200.5053469455,1,cross,2026-08-24T08:09:18+00:00
0x5faed49291db46f90e9af7331e41046e65776e5f,2704972.37917,SOL,14680.4,68.104,1383234.26528,383439.04843,,5,cross,2026-08-24T08:09:18+00:00
0xbfc79c444c41a74516bf31237ebf586a231480b4,2508735.086682,SOL,-20000.0,85.9767,1884464.0,-164929.504603,237.8377365514,20,cross,2026-08-24T08:09:18+00:00
0x0c684f333a7e120bce61383da670bbb0157e82d0,474258.770862,SOL,-381.36,99.3745,35932.959552,1964.507971,9181.9574924865,20,cross,2026-08-24T08:09:18+00:00
